log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
26.49833392,0.89437479,6.56e-193,2.88e-192,Scrappy_p2__metabat2_low_PE_034_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110
7.854091814,0.800782098,1.04e-22,1.14e-22,Shorty_p1__maxbin2_high_prob_011_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
28.62257546,0.907582631,2.69e-218,1.54e-217,Shorty_p1__maxbin2_high_prob_022_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
29.80756754,0.82875441,2.77e-283,2.63e-282,Shorty_p1__metabat2_high_PE_009_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_E
26.1551503,0.653892014,0.0,0.0,Skinner_p2__maxbin2_high_prob_029_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
28.30942465,0.744220972,0.0,0.0,Skinner_p2__metabat2_high_PE_010_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia
28.48422686,0.908961499,1.46e-215,8.24e-215,Skinner_p2__metabat2_high_PE_027_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
28.3936229,1.206210148,1.61e-122,2.92e-122,Snoopy_p1__maxbin2_high_prob_025_contigs,Bacteria,Firmicutes,Bacilli,Haloplasmatales,Turicibacteraceae,Turicibacter
29.58908234,1.306174178,1.3e-113,2.13e-113,Snoopy_p1__metabat2_high_PE_019_contigs,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia_A
29.76799543,1.045762975,3.15e-178,1.13e-177,Snoopy_p1__metabat2_high_PE_024_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
30.0,0.912392342,4.16e-237,2.74e-236,Snoopy_p1__metabat2_low_PE_001_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Ruminococcus_A
5.254969907,1.11803733,2.6e-06,2.71e-06,Snoopy_p1__metabat2_low_PE_026_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
