Phenotype,Has phenotype?,Domain,Phylum,Biome,No. of MAGs
Alkaline phosphatase,False,d__Bacteria,p__Proteobacteria,Environment,4
Alkaline phosphatase,False,d__Bacteria,p__Proteobacteria,Host,15
Alkaline phosphatase,False,d__Bacteria,p__Proteobacteria,Neither,27
Alkaline phosphatase,True,d__Bacteria,p__Proteobacteria,Environment,4
Alkaline phosphatase,True,d__Bacteria,p__Proteobacteria,Host,9
Alkaline phosphatase,True,d__Bacteria,p__Proteobacteria,Neither,13
Alkaline phosphatase,False,d__Bacteria,p__Spirochaetota,Host,25
Alkaline phosphatase,False,d__Bacteria,p__Spirochaetota,Neither,3
Alkaline phosphatase,True,d__Bacteria,p__Spirochaetota,Host,6
Alkaline phosphatase,True,d__Bacteria,p__Spirochaetota,Neither,5
Alkaline phosphatase,False,d__Bacteria,p__Synergistota,Neither,2
Alkaline phosphatase,True,d__Bacteria,p__Synergistota,Neither,2
Alkaline phosphatase,False,d__Bacteria,p__Verrucomicrobiota,Host,10
Alkaline phosphatase,False,d__Bacteria,p__Verrucomicrobiota,Neither,13
Alkaline phosphatase,True,d__Bacteria,p__Verrucomicrobiota,Host,3
Alkaline phosphatase,True,d__Bacteria,p__Verrucomicrobiota,Neither,1
Alkaline phosphatase,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Alkaline phosphatase,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Anaerobe,True,d__Archaea,p__Euryarchaeota,Host,5
Anaerobe,True,d__Archaea,p__Halobacterota,Host,1
Anaerobe,True,d__Archaea,p__Halobacterota,Neither,3
Anaerobe,False,d__Archaea,p__Thermoplasmatota,Neither,2
Anaerobe,True,d__Archaea,p__Thermoplasmatota,Host,1
Anaerobe,True,d__Archaea,p__Thermoplasmatota,Neither,1
Anaerobe,False,d__Bacteria,p__Actinobacteriota,Environment,6
Anaerobe,False,d__Bacteria,p__Actinobacteriota,Host,7
Anaerobe,False,d__Bacteria,p__Actinobacteriota,Neither,29
Anaerobe,True,d__Bacteria,p__Actinobacteriota,Environment,1
Anaerobe,True,d__Bacteria,p__Actinobacteriota,Host,32
Anaerobe,True,d__Bacteria,p__Actinobacteriota,Neither,21
Anaerobe,True,d__Bacteria,p__Armatimonadota,Neither,1
Anaerobe,False,d__Bacteria,p__Bacteroidota,Host,2
Anaerobe,False,d__Bacteria,p__Bacteroidota,Neither,7
Anaerobe,True,d__Bacteria,p__Bacteroidota,Host,215
Anaerobe,True,d__Bacteria,p__Bacteroidota,Neither,121
Anaerobe,False,d__Bacteria,p__Campylobacterota,Host,6
Anaerobe,False,d__Bacteria,p__Campylobacterota,Neither,14
Anaerobe,True,d__Bacteria,p__Chloroflexota,Neither,1
Anaerobe,True,d__Bacteria,p__Cyanobacteria,Host,13
Anaerobe,True,d__Bacteria,p__Cyanobacteria,Neither,2
Anaerobe,False,d__Bacteria,p__Deferribacterota,Neither,1
Anaerobe,False,d__Bacteria,p__Desulfobacterota_A,Neither,1
Anaerobe,True,d__Bacteria,p__Desulfobacterota_A,Host,5
Anaerobe,True,d__Bacteria,p__Desulfobacterota_A,Neither,2
Anaerobe,False,d__Bacteria,p__Elusimicrobiota,Host,2
Anaerobe,True,d__Bacteria,p__Elusimicrobiota,Host,2
Anaerobe,True,d__Bacteria,p__Elusimicrobiota,Neither,2
Anaerobe,True,d__Bacteria,p__Eremiobacterota,Neither,1
Anaerobe,True,d__Bacteria,p__Fibrobacterota,Host,4
Anaerobe,False,d__Bacteria,p__Firmicutes,Host,68
Anaerobe,False,d__Bacteria,p__Firmicutes,Neither,39
Anaerobe,True,d__Bacteria,p__Firmicutes,Host,36
Anaerobe,True,d__Bacteria,p__Firmicutes,Neither,45
Anaerobe,False,d__Bacteria,p__Firmicutes_A,Host,12
Anaerobe,False,d__Bacteria,p__Firmicutes_A,Neither,12
Anaerobe,True,d__Bacteria,p__Firmicutes_A,Host,426
Anaerobe,True,d__Bacteria,p__Firmicutes_A,Neither,161
Anaerobe,True,d__Bacteria,p__Firmicutes_B,Host,2
Anaerobe,True,d__Bacteria,p__Firmicutes_B,Neither,2
Anaerobe,False,d__Bacteria,p__Firmicutes_C,Neither,1
Anaerobe,True,d__Bacteria,p__Firmicutes_C,Host,16
Anaerobe,True,d__Bacteria,p__Firmicutes_C,Neither,12
Anaerobe,False,d__Bacteria,p__Fusobacteriota,Neither,1
Anaerobe,True,d__Bacteria,p__Fusobacteriota,Host,2
Anaerobe,True,d__Bacteria,p__Fusobacteriota,Neither,14
Anaerobe,True,d__Bacteria,p__Myxococcota,Host,2
Anaerobe,False,d__Bacteria,p__Patescibacteria,Host,1
Anaerobe,False,d__Bacteria,p__Patescibacteria,Neither,3
Anaerobe,True,d__Bacteria,p__Planctomycetota,Host,1
Anaerobe,True,d__Bacteria,p__Planctomycetota,Neither,1
Anaerobe,False,d__Bacteria,p__Proteobacteria,Environment,8
