Sample,class,order,family,genus,species,host_common_name,diet,captive_wild,country,sample_type
X354_Hoffmanns_Two_toed_Sloth,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus_hoffmanni,Hoffmanns_Two_toed_Sloth,herbivore,wild,,feces
X232_fail_Brown_Trout,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo_trutta,Brown_Trout,carnivore,wild,Austria,gut
X96_European_Hare,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_europaeus,European_Hare,herbivore,wild,Austria,feces
X367_fail_Dusky_Melanomys,Mammalia,Rodentia,Muridae,Melanomys,Melanomys_caliginosus,Dusky_Melanomys,omnivore,wild,Costa Rica,gut
X78_Indian_Gazelle,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella_bennettii,Indian_Gazelle,herbivore,wild,Iran,feces
X415_White_Rhinoceros,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium_simum,White_Rhinoceros,herbivore,wild,South Africa,feces
X346_Ground_Pangolin,Mammalia,Pholidota,Manidae,Manis,Manis_temminckii,Ground_Pangolin,carnivore,wild,South Africa,feces
X81_Wolf,Mammalia,Carnivora,Canidae,Canis,Canis_lupus,Wolf,carnivore,wild,Mongolia,feces
X246_Great_Spotted_Woodpecker,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos_major,Great_Spotted_Woodpecker,omnivore,wild,Austria,feces
X331_Harbor_Porpoise,Mammalia,Cetacea,Phocoenidae,Phocoena,Phocoena_phocoena,Harbor_Porpoise,carnivore,wild,Wales,feces
X196_Domestic_Cat,Mammalia,Carnivora,Felidae,Felis,Felis_catus,Domestic_Cat,carnivore,captive,Austria,feces
X426_Ural_Owl,Aves,Strigiformes,Strigidae,Strix,Strix_uralensis,Ural_Owl,carnivore,captive,Austria,feces
X183_European_Chub,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus_cephalus,European_Chub,omnivore,wild,Austria,gut
X427_Great_Spotted_Woodpecker,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos_major,Great_Spotted_Woodpecker,omnivore,captive,Austria,feces
X200_Human,Mammalia,Primates,Hominidae,Homo,Homo_sapiens,Human,omnivore,human,Austria,feces
XF157b_European_Toad,Amphibia,Anura,Bufonidae,Bufo,Bufo_bufo,European_Toad,carnivore,wild,Austria,feces
X241_Italian_wall_lizard,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis_siculus,Italian_wall_lizard,carnivore,wild,Croatia,feces
XF14_Common_Bream,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis_brama,Common_Bream,omnivore,wild,Austria,feces
XF90_Domestic_Dog,Mammalia,Carnivora,Canidae,Canis,Canis_lupus,Domestic_Dog,carnivore,captive,Austria,feces
X300_Shy_Heathwren,Aves,Passeriformes,Acanthizidae,Hylacola,Hylacola_cauta,Shy_Heathwren,omnivore,wild,Australia,feces
X240_Southern_White_cheeked_Gibbon,Mammalia,Primates,Hylobatidae,Nomascus,Nomascus_siki,Southern_White_cheeked_Gibbon,herbivore,wild,Viet Nam,feces
X382_Arctic_Wolf,Mammalia,Carnivora,Canidae,Canis,Canis_lupus,Arctic_Wolf,carnivore,captive,Austria,feces
X159_White_tailed_Eagle,Aves,Falconiformes,Accipitridae,Haliaeetus,Haliaeetus_albicilla,White_tailed_Eagle,carnivore,wild,Austria,gut
X328_Prussian_Carp,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius_gibelio,Prussian_Carp,omnivore,wild,Austria,feces
X72_Ural_Owl,Aves,Strigiformes,Strigidae,Strix,Strix_uralensis,Ural_Owl,carnivore,wild,Austria,feces
X275_Barnacle_Goose,Aves,Anseriformes,Anatidae,Branta,Branta_leucopsis,Barnacle_Goose,herbivore,wild,Germany,feces
X298_Horsfields_Bronze_Cuckoo,Aves,Cuculiformes,Cuculidae,Chrysococcyx,Chrysococcyx_basalis,Horsfields_Bronze_Cuckoo,carnivore,wild,Australia,feces
X5_European_Hare,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_europaeus,European_Hare,herbivore,wild,Austria,feces
X357_Northern_Tamandua,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua_mexicana,Northern_Tamandua,carnivore,wild,,feces
X371_Linnaeus_Two_toed_Sloth,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus_didactylus,Linnaeus_Two_toed_Sloth,herbivore,captive,Austria,feces
